spotify_id,song_name,artist_name,lyrics,extraction_status,genius_id,genius_title,genius_artist,genius_url
5zlcxSrYyFmCmSRbere3c5,Never Never,Larry Coryell,,not_found,,,,
1gcTHovibEihqRPFfkfRup,Old Time's Sake,Bobby Dielman,,not_found,,,,
2FK1agZzZzTyxV2CD7ixcP,Reggaeton en Paris,Ozuna,"N-I-C-K
Yey, Dalex
Uh, yeah
Ozuna
Yeah

Bebiendo y bailando las pena' se olvidan
Subiendo y bajando como una machina (Una machina)
Todo el mundo pide música latina (Latina-ah-ah)
Se baila en Europa, América y la China, eh (Woh-oh, oh-oh)

Pegaíto' a la pare', la pare' (La pare')
Y que se joda quien te ve, quien te ve
Y pegaíto' a la pare', la pare' (A la pare')
Yo sigo

Bailando reggaeton en París (Woh-oh, oh-oh)
Bailando reggaeton en París
Yo sigo
Bailando reggaeton en París (Eeh, eeh, eh, eh)
Bailando reggaeton en París (Eeh, eeh, eh, eh; Tra, tra, tra)
Yo sigo
Bailando reggaeton en París

Tú calienta' quemando como a 109, ma'
¿Qué va' a hacer? Dime a qué tú te atreve'
Tengo 300 mujere' (Mujere')
En París bailando reggaeton, bebé, es lo que lo mueve, mai'
Un arrebato de hachí' (De hachí')
Yo tengo la crema de la crema, no nací pa' competir, ma' (Nah)
Morenita, flaquita, peti'
Mezcla con Panamá, Puerto Rico e iraquí, di mamita
De ponerla' a mover yo soy un diestro (Soy un diestro)
Pero paseando a to' esto' bobo' yo estoy hecho un maestro
Mucho gusto, Ozuna, me presento
Si llego a la disco con piquete, sorry, es que no estoy atento
(Mala mía, ma')

'Toy pegaíto' a la pare' con mi bebé (Con mi bebé)
En Barcelona, en Ibiza o en Madrid (En Madrid)
'Toy pegaíto' a la pare' con mi bebé (Yeah, eh)
Pero sigo (Pero sigo)

Bailando reggaeton en París, eh (Woh-oh, oh-oh)
Bailando reggaeton en París
Yo sigo
Bailando reggaeton en París (Eeh, eeh, eh, eh)
Bailando reggaeton en París (Eeh, eeh, eh, eh; Tra, tra, tra)
Yo sigo

N-I-C-K
Sígueme bailando
Como si el mundo va a acabar, yo no vo'a parar
Yo sé que te está gustando
Lo que yo te traje, y no puedes disimular
A-na-na-eh, ah-eh
Yo sé que te gusta contra la pare'
Vamo' a darle duro mami, actívate
En una esquina baby, disfrutándote, ieh-ieh
A-na-na-eh, ah-eh
Yo sé que te gusta contra la pare'
Vamo' a darle duro mami, actívate
En una esquina baby, disfrutándote, ieh-ieh

Pegaíto' a la pare', la pare' (La pare')
Y que se joda quien te ve, quien te ve
Y pegaíto' a la pare', la pare' (A la pare')
Yo sigo

Bailando reggaeton en París, eh (Woh-oh, oh-oh)
Bailando reggaeton en París
Yo sigo
Bailando reggaeton en París (Eeh, eeh, eh, eh)
Bailando reggaeton en París (Eeh, eeh, eh, eh; Tra, tra, tra)
Yo sigo
Bailando reggaeton en París

Woh-oh, oh-oh
Yeh-eh
Woh-oh, oh-oh
Ozuna (Jaja)
Dalex
Bailando reggaeton en París
Dímelo Nicky
Bailando reggaeton en París (Jeje)
Dímelo Flow",success,5057952.0,Reggaetón en París,Ozuna,https://genius.com/Ozuna-dalex-and-nicky-jam-reggaeton-en-paris-lyrics
0g0awHZJtBVhebllgyhDBn,Sky High,Lisa Shaw,,not_found,,,,
6OFh72xtdmMdcm2IAcb6Dw,Joy Rider,Shy Luv,"A waste of time
Let's make alive
I ache (alive)
Morning, daylight

Take my money
Go and buy yourself some sweet wine
(Take my money, take my money)
Things like this before I never seem to come by
Then there was you

Life is so easy
Riding the sun under
Make me feel wonderful
Go out to please me
I never thought I could
Make you feel wonderful
Life is so easy
Riding the sun under
Make me feel wonderful
Go out to please me
I never thought I could
Make you feel wonderful


Next to hazy eyes
Head on your thighs
I lay (I lay)
Under pink skies

Take my money
Go and buy yourself some sweet wine
(Take my money, take my money)
Things like this before I never seem to come by
Then there was you

Life is so easy
Riding the sun under
Make me feel wonderful
Go out to please me
I never thought I could
Make you feel wonderful
Life is so easy
Riding the sun under
Make me feel wonderful
Go out to please me
I never thought I could
Make you feel wonderful

(Make you feel wonderful)
(Make you feel wonderful)

Life is so easy
Riding the sun under
Make me feel wonderful
Go out to please me
I never thought I could
Make you feel wonderful",success,4019969.0,Joyrider,Shy Luv,https://genius.com/Shy-luv-joyrider-lyrics
4nIl2r2J5mHIiCLFB5bJMf,Special,Dwele,,not_found,,,,
4RheKIM2408XktGCCf7GX3,Sad Bell,Jim Lauderdale,,not_found,,,,
79pyYndhQsvU68jlnu8bA6,So Deep,Oracle,,not_found,,,,
1SwUVBOXjNrLWHGHQ4SBla,My Guitar,Johnny Rawls,,not_found,,,,
0YMKeMqcpi21US2PdaxOgu,May Da Funk Be Wit 'Cha,Da Brat,"Now back from the 6-o-6-4-4 full of indo
Untypical is that bad ass ho
B to the R to the A to the T
Ain't no bitch is this industry that can see me
The city of C-H-I is where I'm from
The 3rd motherfucker to drop the bomb on the bomb
And here I come steady breakin bustas off
Up to bat is Da Brat and ain't a damn thing soft
About me, no doubt the B-R-A-T
Is all up in that ass for the motherfuckin ninety's
So funkdafied who can be this lady
Brat westside bustin like a 380
From the top of my head to the sole of my feet
Broke down smoked out locced out is she
That bitch that'll hit ya get ya
And when you bumpin up my shit may da funk be wit 'cha

Fall into the groove of the waxin
Let my music take you high-e-i
Lay back kick it and enjoy the ride
And move that body from side to side
Fall into the groove of the waxin
Let my music take you high-e-i
Lay back kick it and enjoy the ride
And move that body from side to side

A real fresh voice over top of low frequency
Is the chain like connection between you and me
Why? Cause I got that bump de de bump
And baby you got them humps in your trunk
So it's on (Shit)
Lay back nigga we fin to ride
I gotta get high I gotta get mine
Baptized all up in this funky shit
Fired up is that bitch that you just can't funk with
I got what you need do you wanna fly?
This is your brain on drugs and I
Have been captured taken over by
The captivating strength of the most funkdafied high
It's like fire locked in my bones
Get smoked the fuck out it's the funk bring it on (oh yeah)
And that's how I hit ya
And when you bumpin up my shit may da funk be wit 'cha

Fall into the groove of the waxin
Let my music take you high-e-i
Lay back kick it and enjoy the ride
And move that body from side to side
Fall into the groove of the waxin
Let my music take you high-e-i
Lay back kick it and enjoy the ride
And move that body from side to side

Hypnotized by a motherfucker puttin it down
It's Da Brat watch your back when I'm in your town
Cause I gotta be funky I gotta be me
I gotta be that same bitch from the streets
A woman of my clad
Commin up with the motherfucking funk so I know my track
Right, can you feel it do you hear what I hear
Nothin but the funk bumpin up in your ear
Double S-O definitely
So locced out that it's just so s-o crazy
Brat on that ass fallin back once more
Getting filled on full with that shit from the ghetto
You better ask somebody if you don't know
I'm from Chicago and you can't fade this ho
And that's how I get ya
And when you bumpin up my shit nigga take the funk wit 'cha

Fall into the groove of the waxin
Let my music take you high-e-i
Lay back kick it and enjoy the ride
And move that body from side to side
Fall into the groove of the waxin
Let my music take you high-e-i
Lay back kick it and enjoy the ride
And move that body from side to side",success,15468.0,May Da Funk Be Wit ’Cha,Da Brat,https://genius.com/Da-brat-may-da-funk-be-wit-cha-lyrics
