id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,cluster
31FluAFESYqocBS4TbFiK8,After Going Out,We Apologise For Any Inconvenience,0duwYYWvmZm8cSQRe5u0RD,['Zorras'],['7pzMfr6cKMht2pNA6mhomU'],7,1,False,0.657,0.39,1,-12.648,1,0.872,0.0531,0.0,0.127,0.363,153.662,106480,4.0,2010,2010-03-01,3
2tu3GBzpVQfD8gtYsIm2o5,Another Girl's Paradise,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],15,1,False,0.618,0.415,0,-10.983,1,0.0307,0.7140000000000001,0.00156,0.142,0.241,123.099,214613,4.0,2002,2002-10-28,2
5r0obQFGrTf6pCBIGex4DW,Still Alive and Well,Still Alive And Well,028UyLRMn9HnuTvRaWAVTF,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],8,1,False,0.474,0.865,4,-7.399,0,0.168,0.258,0.1969999999999999,0.1009999999999999,0.669,183.512,223827,4.0,1973,1973,6
7CAXrvSR4K7xaWyAyPmECh,The Diner,Out Of Range,53uQL3mss1tsv4NAIs4gwc,['Ani DiFranco'],['0AiTwNtYX8m4uhfU7rJ8RD'],12,1,False,0.597,0.6609999999999999,4,-10.247,0,0.0861,0.225,0.0142,0.956,0.591,169.575,279307,4.0,1994,1994-03-01,5
5vwjJx6VnVj8Y43bQSb26k,Time,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],11,1,False,0.4320000000000001,0.975,11,-6.916,1,0.186,0.000156,0.6859999999999999,0.125,0.3289999999999999,150.19299999999996,190333,4.0,1998,1998-10-01,4
1UI3E250AE67gyWUX1CN9s,The Girl on My Left,Small Planes,1iyTLD4EXY7G9gHYb7MZRQ,['The Innocence Mission'],['4VcTmgGKGuJn56Ac2zNhiH'],5,1,False,0.594,0.265,4,-10.12,1,0.0273,0.419,0.000165,0.103,0.24,99.805,141640,4.0,2001,2001-09-25,2
4WWVZsp4Cmw8BxEUTBth92,Lucillie,Still Alive And Well,028UyLRMn9HnuTvRaWAVTF,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],11,1,False,0.585,0.865,5,-9.041,1,0.0332,0.465,0.0582,0.0654,0.919,126.919,165333,4.0,1973,1973,1
4RIyExqhnXEe3dHUNMGbwT,The Arrivals Gate,To The Teeth,2gH0pLuQAJm9eWxIM87lSy,['Ani DiFranco'],['0AiTwNtYX8m4uhfU7rJ8RD'],11,1,False,0.653,0.7340000000000001,2,-10.374,1,0.0361,0.0422,0.00061,0.0472,0.114,123.611,275067,4.0,1999,1999-11-16,1
5qGqSVrQC55BPAKhJj5Ftv,Your Cloud,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],10,1,False,0.591,0.299,6,-14.459,1,0.0287,0.847,0.0455,0.106,0.149,113.019,270680,4.0,2002,2002-10-28,2
0p0VLfYdU1ltzOj8bMbdbp,Give A Little Love,Greatest Hits,5bssaJTxjs8S0dpc9GzFDj,['The Judds'],['7MSTO40bsb3DOJQT6xLsIc'],4,1,False,0.7120000000000001,0.498,0,-11.28,1,0.0337,0.282,0.0,0.103,0.665,91.033,231467,4.0,1988,1988-08-02,1
6s2FgJbnnMwFTpWJZzvb6z,New Millennium Homes,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],10,1,False,0.4479999999999999,0.861,9,-6.12,1,0.0676,0.00306,0.0,0.0987,0.7609999999999999,92.777,224933,4.0,1999,1999-11-02,1
58tTEyns0vNaqD3MJTRJfY,The Worm,The Jesus Experience,1XC4UMt4DU5SyArX2xWozu,['Bride'],['3G7qoMSLvu9Pmb0xGtf9fl'],2,1,False,0.599,0.7090000000000001,8,-6.4510000000000005,1,0.0395,0.0112,0.000148,0.109,0.364,120.806,271733,4.0,1997,1997-01-01,1
5y0kgZUV8Q87ZuRuI2LqYk,Asia,Martin Rev,10hTeAJHlOaW2nCaXZYmDc,['Martin Rev'],['4zDG2kkm3SmF383uO3Hgo8'],6,1,False,0.418,0.529,0,-12.015,0,0.0469,0.0238,0.936,0.0901,0.0385,109.567,240867,4.0,2002,2002-10-08,4
58RIKzxWYD4CNGuRoP4jSL,Rosemary,Rosaryville,747XdfKqkymjuvap8Lm1Hv,['Kate Campbell'],['1NZA6DefBtQo2PgcmBtnTg'],8,1,False,0.627,0.126,7,-14.764,1,0.0354,0.928,0.0,0.1159999999999999,0.148,122.261,176907,4.0,1999,1999-07-20,2
3l9mRk3YlH9eRBvLpwibn3,Rock & Roll,Still Alive And Well,028UyLRMn9HnuTvRaWAVTF,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],5,1,False,0.418,0.745,7,-10.642,1,0.0515,0.0213,0.166,0.1159999999999999,0.535,142.639,283907,4.0,1973,1973,1
76qI5BvJtzGEVzeBSFUxvN,One Small Year,Whole New You,4qye8JvPSQlrkc3rOTfZmS,['Shawn Colvin'],['0K7VN4aHxHcEb7PqkfoIVA'],10,1,False,0.659,0.3339999999999999,7,-11.861,1,0.0248,0.6859999999999999,0.00212,0.0472,0.387,92.0,246467,4.0,2001,2001-03-20,2
30UUM8bF30dyBn7p7RfetM,Erowid Kid,Shooting Star,5DfHOYTKoKh23OS6g2NKqS,['Reflected Illusions'],['0tQMeEhOqVRQBmOXCVmxyo'],2,1,False,0.304,0.487,4,-18.994,0,0.0427,0.489,0.841,0.103,0.0481,180.013,458667,4.0,2011,2011-12-12,4
6Uz62Rd9XadpjT8Zebgwq2,She Got Me Bad,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],9,1,False,0.61,0.7440000000000001,10,-5.819,1,0.0506,0.41,0.0,0.142,0.672,170.00099999999995,196280,4.0,2018,2018-04-10,1
6t0xAgZ8xTJkaLsivSWh5z,The Hardest Thing In the World,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],8,1,False,0.4270000000000001,0.895,9,-9.048,1,0.0475,0.1119999999999999,0.0,0.3429999999999999,0.598,140.385,161533,4.0,1995,1995-05-15,1
2Mny18rUnYmWI4miQ66kxv,Marvel,Martin Rev,10hTeAJHlOaW2nCaXZYmDc,['Martin Rev'],['4zDG2kkm3SmF383uO3Hgo8'],8,1,False,0.0657,0.523,3,-14.967,0,0.054,0.813,0.948,0.0986,0.0775,74.02199999999998,773027,4.0,2002,2002-10-08,4
4rUJvsznlg30n1RkCdJl8P,Disillusion - Black Lodge Mix,Disillusion,28GxeRP74uhZxTewnIZuyd,"['Badly Drawn Boy', 'Black Lodge']","['244fcyNSuyhbRlMGfMbYrO', '0BDXVCqEZvEduDm8Z4OSVR']",3,1,False,0.186,0.905,2,-4.782,0,0.0884,0.209,0.962,0.42,0.0887,153.94,131840,4.0,2000,2000,4
