id;name;album;album_id;artists;artist_ids;track_number;disc_number;explicit;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature;year;release_date
53cV9RUnKX2ekBe5TnTHmx;-;Wrong Faced Cat Feed Collapse;7vZ00huGhI84BJUtN0V6Xq;['SJ Esau'];['3j5MAN1Q8VougJUQrN2gED'];1;1;FALSO;627;6,51E+15;0;-27927;1;9,16E+15;772;563;365;324;82245;32067;50;2007;2007-03-13
7x03TyQd8dr6r1CK7ZWwIn;-;Wrong Faced Cat Feed Collapse;7vZ00huGhI84BJUtN0V6Xq;['SJ Esau'];['3j5MAN1Q8VougJUQrN2gED'];6;1;FALSO;0;735;1;-2,7769E+16;1;0;815;9,89E+15;0;0;0;6533;0;2007;2007-03-13
2iFCGOeVpSyJPmF3f1ZdpT;-;Wrong Faced Cat Feed Collapse;7vZ00huGhI84BJUtN0V6Xq;['SJ Esau'];['3j5MAN1Q8VougJUQrN2gED'];7;1;FALSO;0;141;0;-2,4137E+16;1;0;99;9,89E+15;0;0;0;6347;0;2007;2007-03-13
5DmQMJBjSLtT0exSgZswhS;-;Kailash;17EYR5C6ZUbkroGINUUeUd;['Queen Elephantine'];['4kRSRP5tgTRVa16po5tgUv'];3;1;FALSO;391;3,83E+16;6;-1,0861E+16;1;417;8,91E+15;768;113;398;1,21983E+16;68533;40;2009;2009-12-01
3ruYjgcB3AqHEx1ieTIPP7;-;The Thing Like Us;1s8jX60dxgZRU40IdYBfDM;['Yannis Kyriakides/ VeenFabriek'];['18Lu49udRKinxFgUO3zqqi'];49;1;FALSO;0;0;0;-600;0;0;0;0;0;0;0;5000;0;2004;2004-01-01
3BfKKNEq39g4HObu25C3Vp;-;The Thing Like Us;1s8jX60dxgZRU40IdYBfDM;['Yannis Kyriakides/ VeenFabriek'];['18Lu49udRKinxFgUO3zqqi'];50;1;FALSO;0;0;1;-600;1;0;0;0;0;0;0;55120;0;2004;2004-01-01
4X1wQBVjWFrMbbxGKJdtrz;-;Vol. 2;54u4G2NO3nnkmOVggU1qlj;['Hours Eastly'];['2GwZDmtINCxF3N6GeG8NuM'];13;1;FALSO;0;0;0;-600;0;0;0;0;0;0;0;4787;0;2009;2009-03-10
6Wrs0EgZ8VXnFFrFBYlVav;-;Scar Sighted;4hnlvhL0RR3AH2YOVChSsh;['Leviathan'];['6CJU2RwwB10D0KoYYqWYeM'];1;1;FALSO;141;121;4;-22044;0;326;8,64E+15;972;131;155;140764;138022;40;2015;2015-03-03
26zZBOpwa7kn8UQMiIUoGu;-;Through a Wall;0XEZIX5p6RyZPASIKNuszX;['Single Mothers'];['2FW1jqwbJgwWT8hTWHgBrq'];11;1;FALSO;2,83E+16;9,79E+15;10;-5,656E+16;1;275;454;985;498;0;10984;17328;30;2018;2018-09-07
7gT9FFys7dUV12fMxRDTNi;--;Sink;1GJPA5VYSbabhQVR6cPJKB;['Floater'];['7wNm9hxB5MzFKEecCenxKJ'];18;1;FALSO;29;35;1;-45665;1;67;569;0,00521;209;3,6E+16;7,3674E+15;124493;40;1994;1994
