spotify_id,song_name,artist_name,genius_id,genius_title,genius_artist,lyrics,genius_url,extraction_status
1MdS31xYweAsuwj7fdR8xA,Burden Of The Angel/Beast,Bruce Cockburn,1176872.0,Burden of the Angel/Beast,Bruce Cockburn,"From the lying mirror to the movement of stars
Everybody's looking for who they are
Those who know don't have the words to tell
And the ones with the words don't know too well

Oh, could be the famine
Could be the feast
Could be the pusher
Could be the priest
Always ourselves we love the least
That's the burden of the angel/beast

Birds of paradise—birds of prey
Here tomorrow, gone today
Cross my forehead, cross my palm
Don't cross me or I'll do you harm

Oh, could be the famine
Could be the feast
Could be the pusher
Could be the priest
Always ourselves we love the least
That's the burden of the angel/beast

We go crying, we come laughing
Never understand the time we're passing
Kill for money, die for love
Whatever was God thinking of?

Oh, could be the famine
Could be the feast
Could be the pusher
Could be the priest
Always ourselves we love the least
That's the burden of the angel/beast",https://genius.com/Bruce-cockburn-burden-of-the-angel-beast-lyrics,success
0rHW20CX7izpkFLVj6RhtM,Scanning These Crowds,Bruce Cockburn,1593497.0,Scanning These Crowds,Bruce Cockburn,"I was half asleep in the washroom when they came in
Eyes like moonlight on barbed wire
And veins showing under the skin
The uniforms made me nervous
I got ready for the chase
But they left me scanning these crowds for some sign of your face

Something fell on Saskatchewan in 1885
Where is it now that we need it
In this century of jive?
The axe falls as if through water
Never leaves a trace
And I'm scanning these crowds for some sign of your face

The world shot down love as a spy, once upon a time ago
Now people stand around here
Like crows in the snow
Like the shadow of the rope on Louis Riel
They look so clean out of place
And I'm scanning these crowds for some sign of your face

Though storms may still kiss the grasslands with primal fire
In the land of passive revolution
Everything's for hire
Are they demons, are they lemmings
Or just the humans in this place?
Lord, I'm scanning these crowds for some sign of your face
Scanning these crowds for some sign of your face",https://genius.com/Bruce-cockburn-scanning-these-crowds-lyrics,success
31v1dqATMAtTPlZjOE3Tou,Southland Of The Heart,Bruce Cockburn,1214480.0,Southland of the Heart,Bruce Cockburn,"When the wild-eyed dogs of day to day
Come snapping at your heels
When there's so much coming at you
That you don't know how to feel
When they've taken all your money
And then come back for your clothes
When your hands are full of thorns
But you can't quit groping for the rose

In the southland of the heart
Where night blooms perfume the breeze
Lie down
Take your rest with me

When thoughts you've tried to leave behind
Keep sniping from the dark
When the fire burns inside you but
You jump from every spark
When your heart's beset by memories
You wish you'd never made
When the sun comes up an enemy
And nothing gives you shade

In the southland of the heart
Where the saints go lazily
Lie down
Take your rest with me
Lie down
Take your rest with me

When the preacher lays his insight down
And claims to lead the blind
When those you trust just get you hooked
And trifle with your mind
When the nightmare's creeping closer
And your wheels are in the mud
When everything's ambiguous
Except the taste of blood

In the southland of the heart
There's no question of degree
Lie down
Take your rest with me
In the southland of the heart
Everyone was always free
Lie down
Take your rest with me
Lie down
Take your rest with me",https://genius.com/Bruce-cockburn-southland-of-the-heart-lyrics,success
4M2EK2o9Zgy2jeqLVifARM,Train In The Rain,Bruce Cockburn,,,,,,not_found
59gijFhkwYNY2IAw0wg2PX,Someone I Used To Love,Bruce Cockburn,1747814.0,Someone I Used to Love,Bruce Cockburn,"All the days we've been together
All the days we've been apart
Add up to a bunch of nothing
If I'm not still in your heart
I never want you to be
Just a page in my history
Someone I used to love

Your voice breathed in my ear
Or on the telephone
All the tender things we've whispered
To keep from feeling alone
May they never come to be
Just cold gems set in memory
Of someone I used to love

This current flows between us
That will not be denied
You draw me in towards you
Like the moon pulls at the tide
May no shadow ever fall
That will make me have to call
You someone I used to love",https://genius.com/Bruce-cockburn-someone-i-used-to-love-lyrics,success
1dVT2CbuH0j9rKco5dvkLI,Love Loves You Too,Bruce Cockburn,1208891.0,Love Loves You Too,Bruce Cockburn,"Some people get to make the news
Some people get to say what's true
Everybody's got to find their own way through
But if you love love, then love loves you too

Some people get to fly by night
Some people get to shine a light
Everybody's got to find their own way through
But if you love love, then love loves you too
But if you love love, then love loves you too

Some of us hunger for the finer things
Some lust for power like the ancient kings
Some have to leave behind everything they thought they knew
Some people don't know how much trouble they can brew

Some take the burden of another's pain
Some spend forever for a moment's gain
Everybody's got to find their own way through
But if you love love, then love loves you too
But if you love love, then love loves you too",https://genius.com/Bruce-cockburn-love-loves-you-too-lyrics,success
3bM7rvHfGmCxRPOiPE177Y,Sunrise On The Mississippi,Bruce Cockburn,,,,,,not_found
2IHBrlBh7aurAatdXG2yTb,Closer to the Light,Bruce Cockburn,1704504.0,Closer to the Light,Bruce Cockburn,"There you go
Swimming deeper into mystery
Here I remain
Only seeing where you used to be
Stared at the ceiling
'Til my ears filled up with tears
Never got to know you
And suddenly you're out of here

Gone from mystery into mystery
Gone from daylight into night
Another step deeper
Into darkness
Closer to the light

Walked outside
Summer moon was nearly down
Mist on the fields
Holy stillness all around
Death's no stranger
No stranger than the life I've seen
Still I cried
Still I begged to get you back again

Gone from mystery into mystery
Gone from daylight into night
Another step deeper
Into darkness
Closer to the light
Another step deeper
Into darkness
Closer to the light


Gone from mystery into mystery
Gone from daylight into night
Another step deeper
Into darkness
Closer to the light
Another step deeper
Into darkness
Closer to the light",https://genius.com/Bruce-cockburn-closer-to-the-light-lyrics,success
7rrMXOKZNmoO10wgvwNj5H,Tie Me At The Crossroads,Bruce Cockburn,1706767.0,Tie Me At the Crossroads,Bruce Cockburn,"Tie me at the crossroads when I die
Hang me in the wind till I get good and dry
And the kids that pass can scratch their heads
And say, ""Who was that guy?""
Tie me at the crossroads when I die

Looking outward see what you can see
By the time you look at something it's already history
As the echoes of our passing fade, all there is to say
Is ""You know I loved you all in my particular way""

And tie me at the crossroads when I die
Hang me in the wind till I get good and dry
And the kids that pass can scratch their heads
And say, ""Who was that guy?""
Tie me at the crossroads when I die

It's more blessed to give than it is to receive
Except when it comes to free advice, I believe
But here I go anyway, back seat driving tonight
Move fast, stay cool, keep your eye on the front sight

And tie me at the crossroads when I die
Hang me in the wind till I get good and dry
And the kids that pass can scratch their heads
And say, ""Who was that guy?""
Tie me at the crossroads when I die
Tie me at the crossroads when I die
Tie me at the crossroads when I die",https://genius.com/Bruce-cockburn-tie-me-at-the-crossroads-lyrics,success
6LiqMOJNu3pMKO6M1cTsgA,Amber Waves,Tori Amos,119018.0,Amber Waves,Tori Amos,"Well, he lit you up like Amber Waves in his movie show
He fixed you up real good till I don't know you anymore
From ballet class to a lap dance straight to video
And the poolside news was that he would be launching you

Into every young man's bedroom you gave it up
On DVD and magazine you gave it up
A private rite of passage you gave it up
To every boy's sweet dream with their paper cuts

You said, ""He's got a healing machine
It glows in the dark, glows in the dark""
You say, ""There's not a lot of me
Left anymore, just leave it alone
But if you're by and you have the time
Tell the Northern lights to keep shining
Oh, lately it seems like they're drowning""

He could light you up and summon every swan to the lakeside
Off to Cabo San Lucas for some optical stimulus
Then you started to guess there was someone else through his flint glass
Seeing all of you immersed in his sepia

Into every young man's bedroom you gave it up
On DVD and magazine you gave it up
A private rite of passage you gave it up
To every boy's sweet dream with their paper cuts

You said, ""He's got a healing machine
It glows in the dark, glows in the dark""
You say, ""There's not a lot of me
Left anymore, just leave it alone
But if you're by and you have the time
Tell the Northern lights to keep shining
Oh, lately it seems like they're drowning""

So I went by, 'cause I had the time
Told the Northern Lights to keep shining
They told me to tell you they're waving",https://genius.com/Tori-amos-amber-waves-lyrics,success
7Kwmac3lkTQ8tPyAVQ0L8G,A Sorta Fairytale,Tori Amos,119019.0,A Sorta Fairytale,Tori Amos,"On my way up north, up on the Ventura
I pulled back the hood and I was talking to you
And I knew then it would be a lifelong thing
But I didn't know that we, we could break a silver lining

And I'm so sad like a good book
I can't put this day back
A sorta fairytale with you (A sorta fairytale with you)
A sorta fairytale with you

Things you said that day, up on the 101
The girl had come undone, I tried to downplay it
With a bet about us, you said that you'd take it
As long as I could, I could not erase it

And I'm so sad like a good book
I can't put this day back
A sorta fairytale with you (A sorta fairytale with you)
A sorta fairytale with you

And I ride alongside
And I rode alongside you then
And I rode alongside till you lost me there in the open road
And I rode alongside till the honey spread itself so thin
For me to break your bread, for me to take your word
I had to steal it

And I'm so sad like a good book
I can't put this day back
A sorta fairytale with you (A sorta fairytale with you)
I could pick back up whenever I feel

Down New Mexico way, something about the open road
I knew that he was looking for some Indian blood
And find a little in you find a little in me
We may be on this road but
We're just impostors in this country, you know
So we go along and we said we'd fake it
Feel better with Oliver Stone
Till I almost smacked him, seemed right that night and
I don't know what takes hold out there in the desert cold
These guys think they must try and just get over on us

And I'm so sad like a good book
I can't put this day back
A sorta fairytale with you (A sorta fairytale with you)
A sorta fairytale with you

And I was riding by, riding alongside
For a while till you lost me
And I was riding by, riding along till you lost me
Till you lost me in the rearview
You lost me, I said. yeah

Way up north I took my day
All in all, was a pretty nice day
And I, I put the hood right back where
You could taste heaven perfectly
Feel out the summer breeze
Didn't know when we'd be back
And I, I don't, didn't think we'd end up like
Like this",https://genius.com/Tori-amos-a-sorta-fairytale-lyrics,success
